RUN	LogInSimulation	loginsimulation	1556555098655	 	3.1.1
USER	LogInSimulation	55	START	1556555099666	1556555099666
USER	LogInSimulation	56	START	1556555099666	1556555099666
USER	LogInSimulation	58	START	1556555099667	1556555099667
USER	LogInSimulation	59	START	1556555099667	1556555099667
USER	LogInSimulation	57	START	1556555099667	1556555099667
USER	LogInSimulation	60	START	1556555099668	1556555099668
USER	LogInSimulation	61	START	1556555099668	1556555099668
USER	LogInSimulation	62	START	1556555099669	1556555099669
USER	LogInSimulation	63	START	1556555099669	1556555099669
USER	LogInSimulation	65	START	1556555099670	1556555099670
USER	LogInSimulation	66	START	1556555099670	1556555099670
USER	LogInSimulation	64	START	1556555099670	1556555099670
USER	LogInSimulation	67	START	1556555099671	1556555099671
USER	LogInSimulation	69	START	1556555099671	1556555099671
USER	LogInSimulation	68	START	1556555099671	1556555099671
USER	LogInSimulation	70	START	1556555099672	1556555099672
USER	LogInSimulation	71	START	1556555099672	1556555099672
USER	LogInSimulation	72	START	1556555099673	1556555099673
USER	LogInSimulation	74	START	1556555099673	1556555099673
USER	LogInSimulation	73	START	1556555099673	1556555099673
USER	LogInSimulation	75	START	1556555099674	1556555099674
USER	LogInSimulation	76	START	1556555099674	1556555099674
USER	LogInSimulation	77	START	1556555099675	1556555099675
USER	LogInSimulation	78	START	1556555099675	1556555099675
USER	LogInSimulation	79	START	1556555099676	1556555099676
USER	LogInSimulation	81	START	1556555099676	1556555099676
USER	LogInSimulation	80	START	1556555099676	1556555099676
USER	LogInSimulation	82	START	1556555099677	1556555099677
USER	LogInSimulation	83	START	1556555099677	1556555099677
USER	LogInSimulation	84	START	1556555099678	1556555099678
USER	LogInSimulation	85	START	1556555099678	1556555099678
USER	LogInSimulation	86	START	1556555099678	1556555099678
USER	LogInSimulation	87	START	1556555099678	1556555099678
USER	LogInSimulation	88	START	1556555099679	1556555099679
USER	LogInSimulation	90	START	1556555099679	1556555099679
USER	LogInSimulation	89	START	1556555099679	1556555099679
USER	LogInSimulation	91	START	1556555099680	1556555099680
USER	LogInSimulation	5	START	1556555099616	1556555099616
USER	LogInSimulation	12	START	1556555099645	1556555099645
USER	LogInSimulation	93	START	1556555099681	1556555099681
USER	LogInSimulation	94	START	1556555099681	1556555099681
USER	LogInSimulation	95	START	1556555099681	1556555099681
USER	LogInSimulation	97	START	1556555099682	1556555099682
USER	LogInSimulation	96	START	1556555099682	1556555099682
USER	LogInSimulation	98	START	1556555099683	1556555099683
USER	LogInSimulation	99	START	1556555099683	1556555099683
USER	LogInSimulation	100	START	1556555099683	1556555099683
USER	LogInSimulation	1	START	1556555099606	1556555099606
USER	LogInSimulation	6	START	1556555099621	1556555099621
USER	LogInSimulation	4	START	1556555099618	1556555099618
USER	LogInSimulation	10	START	1556555099643	1556555099643
USER	LogInSimulation	7	START	1556555099622	1556555099622
USER	LogInSimulation	9	START	1556555099622	1556555099622
USER	LogInSimulation	2	START	1556555099608	1556555099608
USER	LogInSimulation	3	START	1556555099619	1556555099619
USER	LogInSimulation	92	START	1556555099681	1556555099681
REQUEST	9		request_0	1556555099645	1556555100218	OK	 
REQUEST	48		request_0	1556555099664	1556555100211	OK	 
REQUEST	29		request_0	1556555099656	1556555100225	OK	 
REQUEST	32		request_0	1556555099657	1556555100228	OK	 
REQUEST	25		request_0	1556555099654	1556555100228	OK	 
REQUEST	53		request_0	1556555099665	1556555100231	OK	 
REQUEST	56		request_0	1556555099667	1556555100231	OK	 
REQUEST	41		request_0	1556555099661	1556555100232	OK	 
REQUEST	65		request_0	1556555099670	1556555100234	OK	 
REQUEST	64		request_0	1556555099670	1556555100234	OK	 
REQUEST	17		request_0	1556555099651	1556555100235	OK	 
REQUEST	72		request_0	1556555099673	1556555100235	OK	 
REQUEST	57		request_0	1556555099668	1556555100237	OK	 
REQUEST	11		request_0	1556555099645	1556555100237	OK	 
REQUEST	80		request_0	1556555099676	1556555100238	OK	 
REQUEST	19		request_0	1556555099652	1556555100239	OK	 
REQUEST	8		request_0	1556555099647	1556555100239	OK	 
REQUEST	38		request_0	1556555099659	1556555100240	OK	 
REQUEST	16		request_0	1556555099650	1556555100241	OK	 
REQUEST	27		request_0	1556555099655	1556555100241	OK	 
REQUEST	24		request_0	1556555099654	1556555100243	OK	 
REQUEST	40		request_0	1556555099660	1556555100244	OK	 
REQUEST	59		request_0	1556555099668	1556555100244	OK	 
REQUEST	54		request_0	1556555099666	1556555100247	OK	 
REQUEST	35		request_0	1556555099658	1556555100248	OK	 
REQUEST	91		request_0	1556555099681	1556555100250	OK	 
REQUEST	43		request_0	1556555099662	1556555100251	OK	 
REQUEST	67		request_0	1556555099671	1556555100252	OK	 
REQUEST	78		request_0	1556555099676	1556555100252	OK	 
REQUEST	51		request_0	1556555099665	1556555100254	OK	 
REQUEST	75		request_0	1556555099675	1556555100256	OK	 
REQUEST	23		request_0	1556555099653	1556555100256	OK	 
REQUEST	83		request_0	1556555099678	1556555100258	OK	 
REQUEST	70		request_0	1556555099672	1556555100258	OK	 
REQUEST	39		request_0	1556555099660	1556555100260	OK	 
REQUEST	62		request_0	1556555099669	1556555100261	OK	 
REQUEST	86		request_0	1556555099679	1556555100263	OK	 
REQUEST	31		request_0	1556555099657	1556555100264	OK	 
REQUEST	6		request_0	1556555099684	1556555100274	OK	 
REQUEST	94		request_0	1556555099682	1556555100275	OK	 
REQUEST	55		request_0	1556555099666	1556555100277	OK	 
REQUEST	3		request_0	1556555099685	1556555100277	OK	 
REQUEST	47		request_0	1556555099663	1556555100279	OK	 
REQUEST	99		request_0	1556555099683	1556555100279	OK	 
REQUEST	15		request_0	1556555099650	1556555100281	OK	 
REQUEST	87		request_0	1556555099679	1556555100283	OK	 
REQUEST	95		request_0	1556555099682	1556555100284	OK	 
REQUEST	13		request_0	1556555099649	1556555100285	OK	 
REQUEST	33		request_0	1556555099658	1556555100286	OK	 
REQUEST	21		request_0	1556555099653	1556555100288	OK	 
REQUEST	61		request_0	1556555099669	1556555100289	OK	 
REQUEST	45		request_0	1556555099662	1556555100290	OK	 
REQUEST	88		request_0	1556555099679	1556555100291	OK	 
REQUEST	96		request_0	1556555099682	1556555100292	OK	 
REQUEST	42		request_0	1556555099661	1556555100294	OK	 
REQUEST	81		request_0	1556555099677	1556555100295	OK	 
REQUEST	73		request_0	1556555099674	1556555100296	OK	 
REQUEST	49		request_0	1556555099665	1556555100298	OK	 
REQUEST	97		request_0	1556555099682	1556555100299	OK	 
REQUEST	26		request_0	1556555099655	1556555100300	OK	 
REQUEST	66		request_0	1556555099671	1556555100302	OK	 
REQUEST	89		request_0	1556555099680	1556555100303	OK	 
REQUEST	37		request_0	1556555099659	1556555100304	OK	 
REQUEST	74		request_0	1556555099674	1556555100305	OK	 
REQUEST	77		request_0	1556555099676	1556555100307	OK	 
REQUEST	5		request_0	1556555099646	1556555100308	OK	 
REQUEST	69		request_0	1556555099672	1556555100309	OK	 
REQUEST	93		request_0	1556555099681	1556555100310	OK	 
REQUEST	98		request_0	1556555099683	1556555100312	OK	 
REQUEST	85		request_0	1556555099678	1556555100313	OK	 
REQUEST	34		request_0	1556555099658	1556555100314	OK	 
REQUEST	46		request_0	1556555099663	1556555100315	OK	 
REQUEST	10		request_0	1556555099645	1556555100316	OK	 
REQUEST	1		request_0	1556555099684	1556555100318	OK	 
REQUEST	22		request_0	1556555099653	1556555100319	OK	 
REQUEST	18		request_0	1556555099652	1556555100320	OK	 
REQUEST	90		request_0	1556555099680	1556555100322	OK	 
REQUEST	50		request_0	1556555099664	1556555100362	OK	 
REQUEST	30		request_0	1556555099656	1556555100364	OK	 
REQUEST	14		request_0	1556555099649	1556555100365	OK	 
REQUEST	63		request_0	1556555099669	1556555100404	OK	 
REQUEST	79		request_0	1556555099676	1556555100406	OK	 
REQUEST	71		request_0	1556555099673	1556555100407	OK	 
REQUEST	82		request_0	1556555099678	1556555100408	OK	 
REQUEST	58		request_0	1556555099667	1556555100419	OK	 
REQUEST	2		request_0	1556555099685	1556555100420	OK	 
REQUEST	7		request_0	1556555099685	1556555100422	OK	 
REQUEST	44		request_0	1556555099662	1556555100423	OK	 
REQUEST	12		request_0	1556555099646	1556555100424	OK	 
REQUEST	28		request_0	1556555099655	1556555100426	OK	 
REQUEST	4		request_0	1556555099647	1556555100427	OK	 
REQUEST	20		request_0	1556555099652	1556555100428	OK	 
REQUEST	52		request_0	1556555099665	1556555100429	OK	 
REQUEST	68		request_0	1556555099672	1556555100430	OK	 
REQUEST	60		request_0	1556555099669	1556555100431	OK	 
REQUEST	84		request_0	1556555099678	1556555100432	OK	 
REQUEST	76		request_0	1556555099675	1556555100434	OK	 
REQUEST	100		request_0	1556555099684	1556555100434	OK	 
REQUEST	92		request_0	1556555099686	1556555100436	OK	 
REQUEST	36		request_0	1556555099659	1556555100437	OK	 
REQUEST	29		request_0 Redirect 1	1556555100227	1556555101046	OK	 
REQUEST	19		request_0 Redirect 1	1556555100240	1556555101057	OK	 
REQUEST	38		request_0 Redirect 1	1556555100241	1556555101059	OK	 
REQUEST	48		request_0 Redirect 1	1556555100227	1556555101046	OK	 
REQUEST	9		request_0 Redirect 1	1556555100227	1556555101047	OK	 
REQUEST	8		request_0 Redirect 1	1556555100240	1556555101157	OK	 
REQUEST	53		request_0 Redirect 1	1556555100232	1556555101162	OK	 
REQUEST	11		request_0 Redirect 1	1556555100238	1556555101165	OK	 
REQUEST	32		request_0 Redirect 1	1556555100231	1556555101166	OK	 
REQUEST	17		request_0 Redirect 1	1556555100236	1556555101172	OK	 
REQUEST	56		request_0 Redirect 1	1556555100233	1556555101174	OK	 
REQUEST	27		request_0 Redirect 1	1556555100242	1556555101179	OK	 
REQUEST	25		request_0 Redirect 1	1556555100232	1556555101181	OK	 
REQUEST	64		request_0 Redirect 1	1556555100234	1556555101185	OK	 
REQUEST	41		request_0 Redirect 1	1556555100233	1556555101186	OK	 
REQUEST	57		request_0 Redirect 1	1556555100238	1556555101190	OK	 
REQUEST	72		request_0 Redirect 1	1556555100237	1556555101190	OK	 
REQUEST	65		request_0 Redirect 1	1556555100234	1556555101196	OK	 
REQUEST	80		request_0 Redirect 1	1556555100239	1556555101221	OK	 
REQUEST	38		request_1	1556555101156	1556555101270	OK	 
REQUEST	29		request_1	1556555101154	1556555101337	OK	 
REQUEST	53		request_1	1556555101167	1556555101338	OK	 
REQUEST	19		request_1	1556555101153	1556555101339	OK	 
REQUEST	11		request_1	1556555101177	1556555101364	OK	 
REQUEST	27		request_1	1556555101205	1556555101377	OK	 
REQUEST	48		request_1	1556555101150	1556555101380	OK	 
REQUEST	9		request_1	1556555101151	1556555101392	OK	 
REQUEST	8		request_1	1556555101165	1556555101397	OK	 
REQUEST	32		request_1	1556555101173	1556555101399	OK	 
REQUEST	72		request_1	1556555101217	1556555101403	OK	 
REQUEST	64		request_1	1556555101189	1556555101404	OK	 
REQUEST	56		request_1	1556555101184	1556555101412	OK	 
REQUEST	41		request_1	1556555101189	1556555101413	OK	 
REQUEST	80		request_1	1556555101225	1556555101413	OK	 
REQUEST	25		request_1	1556555101185	1556555101415	OK	 
REQUEST	65		request_1	1556555101229	1556555101416	OK	 
REQUEST	16		request_0 Redirect 1	1556555100242	1556555101431	OK	 
REQUEST	57		request_1	1556555101194	1556555101434	OK	 
REQUEST	17		request_1	1556555101179	1556555101438	OK	 
REQUEST	24		request_0 Redirect 1	1556555100243	1556555101438	OK	 
REQUEST	59		request_0 Redirect 1	1556555100245	1556555101440	OK	 
REQUEST	54		request_0 Redirect 1	1556555100248	1556555101441	OK	 
REQUEST	40		request_0 Redirect 1	1556555100244	1556555101443	OK	 
REQUEST	78		request_0 Redirect 1	1556555100253	1556555101448	OK	 
REQUEST	23		request_0 Redirect 1	1556555100257	1556555101449	OK	 
REQUEST	35		request_0 Redirect 1	1556555100248	1556555101453	OK	 
REQUEST	39		request_0 Redirect 1	1556555100260	1556555101457	OK	 
REQUEST	43		request_0 Redirect 1	1556555100251	1556555101459	OK	 
REQUEST	51		request_0 Redirect 1	1556555100255	1556555101462	OK	 
REQUEST	31		request_0 Redirect 1	1556555100264	1556555101463	OK	 
REQUEST	70		request_0 Redirect 1	1556555100259	1556555101464	OK	 
REQUEST	67		request_0 Redirect 1	1556555100253	1556555101468	OK	 
REQUEST	62		request_0 Redirect 1	1556555100262	1556555101470	OK	 
REQUEST	75		request_0 Redirect 1	1556555100256	1556555101472	OK	 
REQUEST	13		request_0 Redirect 1	1556555100286	1556555101474	OK	 
REQUEST	15		request_0 Redirect 1	1556555100282	1556555101474	OK	 
REQUEST	33		request_0 Redirect 1	1556555100286	1556555101475	OK	 
REQUEST	21		request_0 Redirect 1	1556555100288	1556555101478	OK	 
REQUEST	81		request_0 Redirect 1	1556555100295	1556555101479	OK	 
REQUEST	47		request_0 Redirect 1	1556555100279	1556555101479	OK	 
REQUEST	86		request_0 Redirect 1	1556555100263	1556555101480	OK	 
REQUEST	45		request_0 Redirect 1	1556555100290	1556555101482	OK	 
REQUEST	73		request_0 Redirect 1	1556555100297	1556555101483	OK	 
REQUEST	55		request_0 Redirect 1	1556555100277	1556555101483	OK	 
REQUEST	94		request_0 Redirect 1	1556555100276	1556555101484	OK	 
REQUEST	88		request_0 Redirect 1	1556555100291	1556555101484	OK	 
REQUEST	42		request_0 Redirect 1	1556555100294	1556555101484	OK	 
REQUEST	61		request_0 Redirect 1	1556555100289	1556555101486	OK	 
REQUEST	6		request_0 Redirect 1	1556555100274	1556555101487	OK	 
REQUEST	96		request_0 Redirect 1	1556555100293	1556555101489	OK	 
REQUEST	29		request_2	1556555101143	1556555101492	OK	 
REQUEST	26		request_0 Redirect 1	1556555100300	1556555101497	OK	 
REQUEST	97		request_0 Redirect 1	1556555100299	1556555101498	OK	 
REQUEST	87		request_0 Redirect 1	1556555100283	1556555101501	OK	 
REQUEST	95		request_0 Redirect 1	1556555100284	1556555101504	OK	 
REQUEST	91		request_0 Redirect 1	1556555100250	1556555101506	OK	 
REQUEST	49		request_0 Redirect 1	1556555100298	1556555101510	OK	 
REQUEST	38		request_2	1556555101143	1556555101529	OK	 
REQUEST	9		request_2	1556555101143	1556555101528	OK	 
REQUEST	83		request_0 Redirect 1	1556555100258	1556555101533	OK	 
REQUEST	41		request_2	1556555101187	1556555101533	OK	 
REQUEST	48		request_2	1556555101143	1556555101535	OK	 
REQUEST	32		request_2	1556555101168	1556555101536	OK	 
REQUEST	99		request_0 Redirect 1	1556555100280	1556555101538	OK	 
REQUEST	3		request_0 Redirect 1	1556555100278	1556555101541	OK	 
REQUEST	19		request_2	1556555101142	1556555101545	OK	 
REQUEST	8		request_2	1556555101159	1556555101578	OK	 
REQUEST	66		request_0 Redirect 1	1556555100302	1556555101621	OK	 
REQUEST	37		request_0 Redirect 1	1556555100304	1556555101639	OK	 
REQUEST	74		request_0 Redirect 1	1556555100306	1556555101641	OK	 
REQUEST	17		request_2	1556555101176	1556555101642	OK	 
REQUEST	89		request_0 Redirect 1	1556555100303	1556555101644	OK	 
REQUEST	5		request_0 Redirect 1	1556555100308	1556555101645	OK	 
REQUEST	98		request_0 Redirect 1	1556555100312	1556555101645	OK	 
REQUEST	77		request_0 Redirect 1	1556555100307	1556555101649	OK	 
REQUEST	64		request_2	1556555101187	1556555101649	OK	 
REQUEST	22		request_0 Redirect 1	1556555100319	1556555101651	OK	 
REQUEST	93		request_0 Redirect 1	1556555100311	1556555101652	OK	 
REQUEST	46		request_0 Redirect 1	1556555100315	1556555101655	OK	 
REQUEST	10		request_0 Redirect 1	1556555100317	1556555101657	OK	 
REQUEST	69		request_0 Redirect 1	1556555100309	1556555101659	OK	 
REQUEST	85		request_0 Redirect 1	1556555100313	1556555101662	OK	 
REQUEST	1		request_0 Redirect 1	1556555100318	1556555101667	OK	 
REQUEST	56		request_2	1556555101182	1556555101667	OK	 
REQUEST	18		request_0 Redirect 1	1556555100320	1556555101668	OK	 
REQUEST	25		request_2	1556555101183	1556555101671	OK	 
REQUEST	34		request_0 Redirect 1	1556555100314	1556555101674	OK	 
REQUEST	90		request_0 Redirect 1	1556555100322	1556555101677	OK	 
REQUEST	53		request_2	1556555101164	1556555101683	OK	 
REQUEST	11		request_2	1556555101172	1556555101683	OK	 
REQUEST	72		request_2	1556555101192	1556555101704	OK	 
REQUEST	27		request_2	1556555101200	1556555101848	OK	 
REQUEST	80		request_2	1556555101223	1556555101887	OK	 
REQUEST	16		request_1	1556555101435	1556555101966	OK	 
REQUEST	30		request_0 Redirect 1	1556555100364	1556555101969	OK	 
REQUEST	50		request_0 Redirect 1	1556555100363	1556555101968	OK	 
REQUEST	14		request_0 Redirect 1	1556555100366	1556555101981	OK	 
REQUEST	63		request_0 Redirect 1	1556555100405	1556555101985	OK	 
REQUEST	82		request_0 Redirect 1	1556555100409	1556555101987	OK	 
REQUEST	44		request_0 Redirect 1	1556555100423	1556555101989	OK	 
REQUEST	58		request_0 Redirect 1	1556555100419	1556555101992	OK	 
REQUEST	12		request_0 Redirect 1	1556555100425	1556555101993	OK	 
REQUEST	2		request_0 Redirect 1	1556555100421	1556555101995	OK	 
REQUEST	28		request_0 Redirect 1	1556555100426	1556555101995	OK	 
REQUEST	71		request_0 Redirect 1	1556555100407	1556555101999	OK	 
REQUEST	79		request_0 Redirect 1	1556555100406	1556555102002	OK	 
REQUEST	4		request_0 Redirect 1	1556555100427	1556555102004	OK	 
REQUEST	20		request_0 Redirect 1	1556555100428	1556555102008	OK	 
REQUEST	40		request_1	1556555101446	1556555102011	OK	 
REQUEST	52		request_0 Redirect 1	1556555100429	1556555102011	OK	 
REQUEST	60		request_0 Redirect 1	1556555100432	1556555102014	OK	 
REQUEST	7		request_0 Redirect 1	1556555100422	1556555102016	OK	 
REQUEST	68		request_0 Redirect 1	1556555100431	1556555102017	OK	 
REQUEST	76		request_0 Redirect 1	1556555100434	1556555102024	OK	 
REQUEST	84		request_0 Redirect 1	1556555100433	1556555102027	OK	 
REQUEST	100		request_0 Redirect 1	1556555100435	1556555102030	OK	 
REQUEST	13		request_1	1556555101477	1556555102035	OK	 
REQUEST	36		request_0 Redirect 1	1556555100437	1556555102045	OK	 
REQUEST	92		request_0 Redirect 1	1556555100436	1556555102048	OK	 
REQUEST	78		request_1	1556555101456	1556555102144	OK	 
REQUEST	70		request_1	1556555101467	1556555102145	OK	 
REQUEST	31		request_1	1556555101472	1556555102151	OK	 
REQUEST	23		request_1	1556555101454	1556555102151	OK	 
REQUEST	81		request_1	1556555101482	1556555102151	OK	 
REQUEST	33		request_1	1556555101477	1556555102166	OK	 
REQUEST	48		request_8	1556555101150	1556555102156	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	38		request_3	1556555101147	1556555102157	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_3	1556555101151	1556555102161	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	19		request_4	1556555101152	1556555102164	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_4	1556555101152	1556555102173	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	54		request_1	1556555101446	1556555102176	OK	 
REQUEST	48		request_3	1556555101148	1556555102171	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_3	1556555101148	1556555102171	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	19		request_3	1556555101147	1556555102181	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_5	1556555101152	1556555102181	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	48		request_4	1556555101148	1556555102183	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	38		request_4	1556555101154	1556555102184	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_4	1556555101149	1556555102186	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	19		request_5	1556555101152	1556555102190	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_6	1556555101152	1556555102192	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	48		request_5	1556555101149	1556555102193	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	38		request_5	1556555101154	1556555102193	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_5	1556555101149	1556555102198	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	48		request_6	1556555101149	1556555102205	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	19		request_6	1556555101152	1556555102202	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_7	1556555101153	1556555102205	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	38		request_6	1556555101155	1556555102209	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_6	1556555101149	1556555102227	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	48		request_7	1556555101149	1556555102228	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	39		request_1	1556555101460	1556555102241	OK	 
REQUEST	19		request_7	1556555101153	1556555102229	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	42		request_1	1556555101494	1556555102242	OK	 
REQUEST	16		request_2	1556555101432	1556555102247	OK	 
REQUEST	24		request_2	1556555101439	1556555102250	OK	 
REQUEST	38		request_7	1556555101155	1556555102237	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	29		request_8	1556555101153	1556555102233	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	38		request_8	1556555101155	1556555102252	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_7	1556555101150	1556555102238	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	19		request_8	1556555101153	1556555102243	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	53		request_3	1556555101164	1556555102255	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	9		request_8	1556555101151	1556555102259	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	8		request_3	1556555101162	1556555102257	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	53		request_4	1556555101165	1556555102264	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	53		request_5	1556555101165	1556555102270	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	11		request_3	1556555101172	1556555102268	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	8		request_4	1556555101163	1556555102269	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	17		request_3	1556555101177	1556555102272	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	53		request_6	1556555101165	1556555102274	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	11		request_4	1556555101175	1556555102275	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	26		request_1	1556555101500	1556555102284	OK	 
REQUEST	62		request_1	1556555101479	1556555102285	OK	 
REQUEST	8		request_5	1556555101163	1556555102276	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
REQUEST	11		request_5	1556555101176	1556555102284	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: localhost/127.0.0.1:4200
